Industry,SCTG01,SCTG02,SCTG03,SCTG04,SCTG05,SCTG06,SCTG07,SCTG08,SCTG09,SCTG10,SCTG11,SCTG12,SCTG13,SCTG14,SCTG15,SCTG16,SCTG17,SCTG18,SCTG19,SCTG20,SCTG21,SCTG22,SCTG23,SCTG24,SCTG25,SCTG26,SCTG27,SCTG28,SCTG29,SCTG30,SCTG31,SCTG32,SCTG33,SCTG34,SCTG35,SCTG36,SCTG37,SCTG38,SCTG39,SCTG40,SCTG41,SCTG42,SCTG43,SCTG99
IND,91.84004303,9.141959114,235.8452336,8.051673917,103.7203406,16.96312936,443.5008641,23.76467214,0,0.594389835,0.059923188,0.33956473,0.22459443,0.315881672,0,14.70929225,4.50411266,4.50411266,19.7055891,9.424977926,0.931082333,1.96233519,2.085833508,5.313328895,439.6214416,685.1198076,13.15315028,130.7178877,3.584761207,1.596283913,9.375674535,25.8231902,13.9840429,6.00139638,26.94464976,9.135704635,1.96865957,4.901821389,1.782817012,1.718675676,0,0.090991807,0.090991807,0.090991807
HI_IND,11.18760767,8.045263571,105.7913892,17.85536289,60.30739535,57.21978369,727.3464441,104.2577217,1,1.807021692,0.367466202,2.082308476,1.518777767,0.770221184,1,5.266241172,0.213679472,0.213679472,10.69072001,124.7471455,54.91770379,23.73591496,130.0890267,170.388202,14.60037977,1013.974521,24.77973038,262.769048,63.61484363,44.31969085,79.06099414,107.5466039,189.0548356,206.8971313,1573.704055,487.8814349,149.1547302,353.6187883,103.9881331,64.72335192,0,0.243821506,0.243821506,0.243821506
RET,53.06385512,13.61045137,254.5244749,24.75438225,86.09416452,206.1785409,813.9444464,160.9172839,0,19.67977131,2.275010631,12.89172691,10.44748898,2.78272325,0,9.619013584,1.174224919,1.174224919,19.56753457,139.4273726,42.27093027,68.57443591,86.73841534,142.1348742,168.8376164,728.0727852,29.87180608,546.6346774,148.9332484,82.12523181,234.3830998,463.1978295,340.0331541,278.4535222,1204.983848,633.4385818,123.4905976,223.2150285,73.69253711,85.16056214,1,0.28898747,0.28898747,0.28898747
HI_RET,53.06385512,13.61045137,254.5244749,24.75438225,86.09416452,206.1785409,813.9444464,160.9172839,0,19.67977131,2.275010631,12.89172691,10.44748898,2.78272325,0,9.619013584,1.174224919,1.174224919,19.56753457,139.4273726,42.27093027,68.57443591,86.73841534,142.1348742,168.8376164,728.0727852,29.87180608,546.6346774,148.9332484,82.12523181,234.3830998,463.1978295,340.0331541,278.4535222,1204.983848,633.4385818,123.4905976,223.2150285,73.69253711,85.16056214,1,0.28898747,0.28898747,0.28898747
OFF,86.41963628,28.53413109,283.7905478,38.12000436,69.90299859,174.1448889,544.6452198,110.0247574,0,20.28315467,2.828130922,16.02607522,11.27937361,1.851835589,0,39.80016864,0.602441209,0.602441209,46.85019279,90.88895552,83.74622061,19.10283824,134.8069971,155.2984229,72.17728634,446.24864,15.07756895,221.285342,339.7669959,100.5695979,123.4397859,170.1303396,373.5927288,316.0006704,1520.377876,276.2466555,155.3852288,404.1208567,80.13779484,119.0618619,0,0.256654333,0.256654333,0.256654333
SERV,1.476580434,0.424179604,10.65472603,1.55001613,8.27052864,12.62038952,44.90416228,4.384345882,0,0.378224762,0.046338253,0.262583435,0.194667896,0.021284813,0,0.264979969,0.139252081,0.139252081,1.060810609,9.972895566,2.168196793,3.26139152,5.280654299,21.1961289,44.82488137,87.21050621,3.104393465,45.11714965,32.95841077,6.978067957,22.14525517,30.7055558,49.39802706,28.6301064,76.50300217,21.13311785,9.123329083,32.79908945,9.278592172,9.82045157,0,0.024479962,0.024479962,0.024479962
GOV,0.004981482,0.003229824,0.082554562,0.075094165,0.371920905,0.975162691,2.899973572,0.737352667,0,0.000888059,0.000458072,0.002595741,0.00256308,0.01438199,0,0.023368455,0.004866645,0.004866645,0.04425976,0.884728654,0.432653344,0.049971934,1.221159472,1.099712021,0.149819188,2.766035588,0.64461231,17.24378439,0.421577185,0.465857575,1.068607321,32.05739315,12.4567986,1.080096253,4.103308432,1.636910259,0.303101016,0.724476304,0.339940605,0.293109496,0,0.003247582,0.003247582,0.003247582
EDU,1.006027525,0.582738329,8.191633573,0.353068441,9.624400964,0.00303302,0.239967587,0.01751212,0,0,0,0,0,0,0,0.00142723,0.000922485,0.000922485,0.002377669,0.00310752,0.002770116,0,0.004116941,0.011544113,0.772937,0.020540689,0,0.022344175,0.42140228,0.00133248,0.00456069,0.009005382,0.01964551,0.019456367,0.12840828,0.003293576,0.012074066,0.035902988,0.005553172,0.006692373,0,0.000825534,0.000825534,0.000825534
HOSP,1.006027525,0.582738329,8.191633573,0.353068441,9.624400964,0.00303302,0.239967587,0.01751212,0,0,0,0,0,0,0,0.00142723,0.000922485,0.000922485,0.002377669,0.00310752,0.002770116,0,0.004116941,0.011544113,0.772937,0.020540689,0,0.022344175,0.42140228,0.00133248,0.00456069,0.009005382,0.01964551,0.019456367,0.12840828,0.003293576,0.012074066,0.035902988,0.005553172,0.006692373,0,0.000825534,0.000825534,0.000825534
